,0,1,2,3,4,5,6,7,8,9
0,2022.12.09.08.00.00,1,0,2,0,0,2,2,0.15
1,2022.12.09.08.15.00,3,0,4,0,0,2,2,
2,2022.12.09.08.30.00,6,3,6,0,1,3,5,
3,2022.12.09.08.45.00,11,3,10,2,1,7,8,
4,2022.12.09.09.00.00,15,4,13,3,1,7,8,
5,2022.12.09.09.15.00,19,5,12,5,2,8,10,
6,2022.12.09.09.30.00,18,9,12,6,4,8,10,
7,2022.12.09.09.45.00,20,9,16,10,5,12,12,
8,2022.12.09.10.00.00,27,6,16,12,7,15,16,
9,2022.12.09.10.15.00,30,5,14,12,12,20,16,
10,2022.12.09.10.30.00,32,7,18,13,13,22,15,
11,2022.12.09.10.45.00,33,6,18,13,12,25,16,
12,2022.12.09.11.00.00,32,5,20,12,13,25,18,
13,2022.12.09.11.15.00,31,4,21,10,18,29,17,
14,2022.12.09.11.30.00,33,6,19,13,17,33,16,
15,2022.12.09.11.45.00,35,8,12,13,14,33,16,
16,2022.12.09.12.00.00,24,4,16,15,16,31,18,
17,2022.12.09.12.15.00,22,6,15,11,17,28,8,
18,2022.12.09.12.30.00,26,2,9,15,17,20,11,
19,2022.12.09.12.45.00,27,1,15,13,16,15,10,
20,2022.12.09.13.00.00,26,3,15,10,12,20,10,
21,2022.12.09.13.15.00,32,4,17,11,14,27,9,
22,2022.12.09.13.30.00,32,6,19,11,16,29,12,
23,2022.12.09.13.45.00,26,9,20,14,17,31,15,
24,2022.12.09.14.00.00,32,6,17,16,17,29,15,
25,2022.12.09.14.15.00,34,7,20,17,15,26,16,
26,2022.12.09.14.30.00,32,7,17,12,17,21,13,
27,2022.12.09.14.45.00,36,5,12,13,13,16,10,
28,2022.12.09.15.00.00,29,8,16,13,16,17,11,
29,2022.12.09.15.15.00,29,6,15,10,12,19,13,
30,2022.12.09.15.30.00,28,3,12,8,15,16,15,
